,Bundled,Quested,Rewarded,Display Name,Brand (because the name is already toooo long),Category,Build Cost,Upgrade Cost,,,,,Sell Price,,,,,Stock fee / Product,,,,,Profit,,,,,Shelf Maintenance Fee,,,,,Appeal,,,,
,,,,,,,,Floor ( build cost * 0.5 + current level^2*5 ),,,,,Stock fee + Profit,,,,,Floor ( Build cost *0.05 + current level ^ 2 * 0.5),,,,,Floor ( build cost * 0.03 + current level^3*0.25  ),,,,,,,,,,floor (build cost * 0.009 * current level * 2 + 2 * current level ^1.5 * 2,,,,
,,,,,,,,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
TRUE,2,FALSE,FALSE,SoloFans GiftCode,SoloFans,Digital Media,80,45,60,85,120,165,3,7,10,16,22,2,4,6,10,14,2,3,4,6,8,6,7,9,12,15,1,4,6,8,11
TRUE,0,FALSE,FALSE,Poplife Giftcard,PopLife,Digital Media,100,55,70,95,130,175,6,9,12,18,24,3,5,7,11,15,3,4,5,7,9,7,9,11,14,17,2,4,7,10,13
TRUE,2,FALSE,FALSE,WLW VR Porn,C¥B3R5EX,Digital Media,150,80,95,120,155,200,10,12,16,21,28,6,7,10,13,18,4,5,6,8,10,9,11,12,15,18,3,6,10,14,17
TRUE,1,FALSE,FALSE,MLM VR Porn,C¥B3R5EX,Digital Media,155,82,97,122,157,202,10,12,16,21,28,6,7,10,13,18,4,5,6,8,10,9,11,12,15,18,3,6,10,14,18
TRUE,2,FALSE,FALSE,Straight VR Porn,C¥B3R5EX,Digital Media,200,105,120,145,180,225,14,17,20,26,32,8,10,12,16,20,6,7,8,10,12,12,14,15,18,21,4,8,12,17,22
TRUE,1,FALSE,FALSE,Threesome VR Porn,C¥B3R5EX,Digital Media,210,110,125,150,185,230,15,17,21,26,33,9,10,13,16,21,6,7,8,10,12,12,14,15,18,21,4,8,13,18,23
FALSE,1,FALSE,FALSE,Fantasy VR Porn,C¥B3R5EX,Digital Media,380,195,210,235,270,315,28,31,34,40,46,17,19,21,25,29,11,12,13,15,17,19,21,22,25,27,7,14,22,30,38
TRUE,2,FALSE,FALSE,Orgy VR Porn,C¥B3R5EX,Digital Media,730,370,385,410,445,490,57,58,63,67,75,35,36,39,42,47,22,22,24,25,28,33,33,36,37,41,13,27,41,55,70
FALSE,1,FALSE,FALSE,Cage,A R T D S A J I,Funiture,250,130,145,170,205,250,18,20,24,29,36,11,12,15,18,23,7,8,9,11,13,14,15,17,19,22,4,10,15,21,26
FALSE,2,FALSE,FALSE,Sex Swing,A R T D S A J I,Funiture,275,142,157,182,217,262,20,22,26,31,38,12,13,16,19,24,8,9,10,12,14,15,17,18,21,23,5,11,16,23,29
FALSE,1,FALSE,FALSE,Bondage Chair,A R T D S A J I,Funiture,300,155,170,195,230,275,22,25,28,34,40,13,15,17,21,25,9,10,11,13,15,17,18,19,22,25,5,11,18,24,31
FALSE,1,FALSE,FALSE,Sex Couch,A R T D S A J I,Funiture,310,160,175,200,235,280,23,25,29,34,41,14,15,18,21,26,9,10,11,13,15,17,18,19,22,25,5,12,18,25,32
FALSE,1,FALSE,FALSE,Support Wedge,A R T D S A J I,Funiture,325,167,182,207,242,287,24,26,30,35,42,14,16,18,22,26,10,10,12,13,16,18,18,21,22,26,6,12,19,26,33
FALSE,1,FALSE,FALSE,Sex Position Enhancer Chair,A R T D S A J I,Funiture,390,200,215,240,275,320,29,31,35,40,47,18,19,22,25,30,11,12,13,15,17,19,21,22,25,27,7,15,23,31,39
FALSE,1,FALSE,FALSE,Waterproof Throw Blanket,A R T D S A J I,Funiture,415,212,227,252,287,332,31,33,37,42,49,19,20,23,26,31,12,13,14,16,18,21,22,23,26,28,7,16,24,33,41
FALSE,1,FALSE,FALSE,Couple's Support Wedge,A R T D S A J I,Funiture,455,232,247,272,307,352,34,36,40,45,52,21,22,25,28,33,13,14,15,17,19,22,23,25,27,30,8,17,26,35,45
FALSE,2,FALSE,FALSE,Toy Mount Pillow,A R T D S A J I,Funiture,510,260,275,300,335,380,39,41,45,50,57,24,25,28,31,36,15,16,17,19,21,25,26,27,30,32,9,19,29,39,50
FALSE,1,FALSE,FALSE,Bondage Pillow,A R T D S A J I,Funiture,740,375,390,415,450,495,57,60,63,69,75,35,37,39,43,47,22,23,24,26,28,33,35,36,38,41,13,27,42,56,71
FALSE,1,FALSE,FALSE,Door Bondage,A R T D S A J I,Funiture,765,387,402,427,462,507,59,61,65,70,77,36,38,40,44,48,23,23,25,26,29,35,35,37,38,42,14,28,43,58,73
TRUE,1,FALSE,FALSE,Paddle,Rough Angel,Accessories,155,82,97,122,157,202,10,12,16,21,28,6,7,10,13,18,4,5,6,8,10,9,11,12,15,18,3,6,10,14,18
FALSE,1,FALSE,FALSE,Handcuffs,Rough Angel,Accessories,215,112,127,152,187,232,15,17,21,26,33,9,10,13,16,21,6,7,8,10,12,12,14,15,18,21,4,8,13,18,23
TRUE,1,FALSE,FALSE,Blindfold,Rough Angel,Accessories,240,125,140,165,200,245,17,20,23,29,35,10,12,14,18,22,7,8,9,11,13,14,15,17,19,22,4,9,15,20,26
TRUE,2,FALSE,FALSE,Whip,Rough Angel,Accessories,255,132,147,172,207,252,18,20,24,29,36,11,12,15,18,23,7,8,9,11,13,14,15,17,19,22,4,10,15,21,27
FALSE,1,FALSE,FALSE,Chasity Cage,Rough Angel,Accessories,395,202,217,242,277,322,30,31,36,40,48,18,19,22,25,30,12,12,14,15,18,21,21,23,25,28,7,15,23,31,40
TRUE,1,FALSE,FALSE,Nipple Clamps,Rough Angel,Accessories,360,185,200,225,260,305,27,29,33,38,45,16,18,20,24,28,11,11,13,14,17,19,19,22,23,27,6,14,21,29,36
TRUE,1,FALSE,FALSE,Collar,Rough Angel,Accessories,485,247,262,287,322,367,36,39,42,48,54,22,24,26,30,34,14,15,16,18,20,23,25,26,28,31,9,18,28,38,48
TRUE,1,FALSE,FALSE,Bondage Rope,Rough Angel,Accessories,500,255,270,295,330,375,38,41,44,50,56,23,25,27,31,35,15,16,17,19,21,25,26,27,30,32,9,19,29,39,49
TRUE,3,FALSE,FALSE,Ball Gag,Rough Angel,Accessories,710,360,375,400,435,480,55,57,61,66,73,34,35,38,41,46,21,22,23,25,27,32,33,35,37,39,13,26,40,54,68
TRUE,1,FALSE,FALSE,Prostate Messager,LOVXNS,Anal,110,60,75,100,135,180,7,9,13,18,25,4,5,8,11,16,3,4,5,7,9,7,9,11,14,17,2,5,8,11,14
TRUE,1,FALSE,FALSE,Anal Plug,LOVXNS,Anal,250,130,145,170,205,250,18,20,24,29,36,11,12,15,18,23,7,8,9,11,13,14,15,17,19,22,4,10,15,21,26
FALSE,1,FALSE,FALSE,Anal Lubricant Dildo,Dildo & Chbana,Anal,270,140,155,180,215,260,20,22,26,31,38,12,13,16,19,24,8,9,10,12,14,15,17,18,21,23,5,10,16,22,28
TRUE,1,FALSE,FALSE,Anal beads,LOVXNS,Anal,300,155,170,195,230,275,22,25,28,34,40,13,15,17,21,25,9,10,11,13,15,17,18,19,22,25,5,11,18,24,31
TRUE,2,FALSE,FALSE,Anal Vibrator,LOVXNS,Anal,615,312,327,352,387,432,47,49,53,58,65,29,30,33,36,41,18,19,20,22,24,28,30,31,33,36,11,23,35,47,59
TRUE,2,FALSE,FALSE,Silicone Dildo,Dildo & Chbana,Dildo,90,50,65,90,125,170,5,7,11,16,23,3,4,7,10,15,2,3,4,6,8,6,7,9,12,15,2,4,6,9,12
TRUE,1,FALSE,FALSE,Sensory Glass Dildo,Dildo & Chbana,Dildo,150,80,95,120,155,200,10,12,16,21,28,6,7,10,13,18,4,5,6,8,10,9,11,12,15,18,3,6,10,14,17
FALSE,1,FALSE,FALSE,Strap on Dildo,Dildo & Chbana,Dildo,300,155,170,195,230,275,22,25,28,34,40,13,15,17,21,25,9,10,11,13,15,17,18,19,22,25,5,11,18,24,31
TRUE,1,FALSE,FALSE,Textured Fantasy Dildo,Good Unicorn,Dildo,655,332,347,372,407,452,50,52,56,61,68,31,32,35,38,43,19,20,21,23,25,30,31,32,35,37,12,24,37,50,63
FALSE,2,FALSE,FALSE,Deep Throat Desensitizing Spray,Mèrcury,Enhancement,365,187,202,227,262,307,27,29,33,38,45,16,18,20,24,28,11,11,13,14,17,19,19,22,23,27,6,14,21,29,37
FALSE,1,FALSE,TRUE,Penis Extender,Mèrcury,Enhancement,400,205,220,245,280,325,30,33,36,42,48,18,20,22,26,30,12,13,14,16,18,21,22,23,26,28,7,15,23,32,40
FALSE,0,FALSE,FALSE,Ribbed Sheath,BLUBURRY,Enhancement,445,227,242,267,302,347,33,36,39,45,51,20,22,24,28,32,13,14,15,17,19,22,23,25,27,30,8,17,26,35,44
FALSE,2,FALSE,FALSE,Vibrating Penis Ring,BLUBURRY,Enhancement,510,260,275,300,335,380,39,41,45,50,57,24,25,28,31,36,15,16,17,19,21,25,26,27,30,32,9,19,29,39,50
FALSE,1,FALSE,FALSE,Penis Ring,BLUBURRY,Enhancement,530,270,285,310,345,390,41,42,47,51,59,25,26,29,32,37,16,16,18,19,22,26,26,28,30,33,9,20,30,41,52
TRUE,1,FALSE,FALSE,Textured Fantasy Sheath,Good Unicorn,Enhancement,640,325,340,365,400,445,49,52,55,61,67,30,32,34,38,42,19,20,21,23,25,30,31,32,35,37,11,24,36,49,62
TRUE,1,FALSE,FALSE,Textured Stroker,Lewis Spitton,Fleshlight,55,32,47,72,107,152,2,4,8,13,20,1,2,5,8,13,1,2,3,5,7,3,6,7,11,14,1,3,5,7,9
TRUE,1,FALSE,FALSE,Fleshlight,Lewis Spitton,Fleshlight,200,105,120,145,180,225,14,17,20,26,32,8,10,12,16,20,6,7,8,10,12,12,14,15,18,21,4,8,12,17,22
