,Display Name,Brand (because the name is already toooo long),Category,BP Condition,Unlock Day,Unlock Quest,Build Cost,Upgrade Cost,,,,,Sell Price,,,,,Maintenance,,,,,Stock,,,,,Attractiveness ,,,,
,,,,,,,,Floor ( build cost * 0.5 + current level^2*5 ),,,,,Floor ( build cost * 0.1 + current level^3*0.2  ),,,,,Floor ( Build cost *0.1 + current level ^ 2 * 0.5 - 5),,,,,floor (Build Cost * 0.01 + current level * 0.9 + 5),,,,,floor (build cost * 0.09 * 4 + 4 * current level ^1.5 + 5,,,,
,,,,,,,,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
TRUE,SoloFans GiftCode,SoloFans,Digital Media,,,,80,45,60,85,120,165,8,9,13,20,33,3,5,7,11,15,7,9,11,13,14,20,45,68,94,121
TRUE,Poplife Giftcard,PopLife,Digital Media,,,,100,55,70,95,130,175,10,11,15,22,35,5,7,9,13,17,7,9,11,13,15,22,52,79,109,139
TRUE,WLW VR Porn,C¥B3R5EX,Digital Media,,,,150,80,95,120,155,200,15,16,20,27,40,10,12,14,18,22,8,10,11,13,15,26,70,106,145,184
TRUE,MLM VR Porn,C¥B3R5EX,Digital Media,,,,150,80,95,120,155,200,15,16,20,27,40,10,12,14,18,22,8,10,11,13,15,26,70,106,145,184
TRUE,Straight VR Porn,C¥B3R5EX,Digital Media,,,,200,105,120,145,180,225,20,21,25,32,45,15,17,19,23,27,8,10,12,14,16,31,88,133,181,229
TRUE,Threesome VR Porn,C¥B3R5EX,Digital Media,,,,200,105,120,145,180,225,20,21,25,32,45,15,17,19,23,27,8,10,12,14,16,31,88,133,181,229
TRUE,Fantasy VR Porn,C¥B3R5EX,Digital Media,,,,400,205,220,245,280,325,40,41,45,52,65,35,37,39,43,47,10,12,14,16,18,49,160,241,325,409
TRUE,Orgy VR Porn,C¥B3R5EX,Digital Media,,,,700,355,370,395,430,475,70,71,75,82,95,65,67,69,73,77,13,15,17,19,21,76,268,403,541,679
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Cage,A R T D S A J I,Funiture,,,,250,130,145,170,205,250,25,26,30,37,50,20,22,24,28,32,9,11,12,14,16,35,106,160,217,274
TRUE,Sex Swing,A R T D S A J I,Funiture,,,,275,142,157,182,217,262,27,29,32,40,52,23,24,27,30,35,9,11,13,14,16,37,115,174,235,297
TRUE,Bondage Chair,A R T D S A J I,Funiture,,,,300,155,170,195,230,275,30,31,35,42,55,25,27,29,33,37,9,11,13,15,17,40,124,187,253,319
TRUE,Sex Couch,A R T D S A J I,Funiture,,,,310,160,175,200,235,280,31,32,36,43,56,26,28,30,34,38,9,11,13,15,17,40,127,193,260,328
TRUE,Support Wedge,A R T D S A J I,Funiture,,,,325,167,182,207,242,287,32,34,37,45,57,28,29,32,35,40,10,11,13,15,17,42,133,201,271,342
TRUE,Sex Position Enhancer Chair,A R T D S A J I,Funiture,,,,390,200,215,240,275,320,39,40,44,51,64,34,36,38,42,46,10,12,14,16,17,48,156,236,317,400
TRUE,Waterproof Throw Blanket,A R T D S A J I,Funiture,,,,415,212,227,252,287,332,41,43,46,54,66,37,38,41,44,49,10,12,14,16,18,50,165,249,335,423
TRUE,Couple's Support Wedge,A R T D S A J I,Funiture,,,,455,232,247,272,307,352,45,47,50,58,70,41,42,45,48,53,11,13,14,16,18,53,180,271,364,459
TRUE,Toy Mount Pillow,A R T D S A J I,Funiture,,,,510,260,275,300,335,380,51,52,56,63,76,46,48,50,54,58,11,13,15,17,19,58,199,301,404,508
TRUE,Bondage Pillow,A R T D S A J I,Funiture,,,,740,375,390,415,450,495,74,75,79,86,99,69,71,73,77,81,14,16,17,19,21,79,282,425,569,715
TRUE,Door Bondage,A R T D S A J I,Funiture,,,,760,385,400,425,460,505,76,77,81,88,101,71,73,75,79,83,14,16,18,19,21,81,289,436,584,733
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,Paddle,Rough Angel,Accessories,,,,155,82,97,122,157,202,15,17,20,28,40,11,12,15,18,23,8,10,11,13,15,26,72,109,148,189
TRUE,Handcuffs,Rough Angel,Accessories,,,,215,112,127,152,187,232,21,23,26,34,46,17,18,21,24,29,8,10,12,14,16,32,93,141,191,243
TRUE,Blindfold,Rough Angel,Accessories,,,,240,125,140,165,200,245,24,25,29,36,49,19,21,23,27,31,9,11,12,14,16,34,102,155,209,265
TRUE,Whip,Rough Angel,Accessories,,,,255,132,147,172,207,252,25,27,30,38,50,21,22,25,28,33,9,11,12,14,16,35,108,163,220,279
TRUE,Chasity Cage,Rough Angel,Accessories,,,,395,202,217,242,277,322,39,41,44,52,64,35,36,39,42,47,10,12,14,16,17,48,158,239,321,405
TRUE,Nipple Clamps,Rough Angel,Accessories,,,,360,185,200,225,260,305,36,37,41,48,61,31,33,35,39,43,10,12,14,15,17,45,145,220,296,373
TRUE,Collar,Rough Angel,Accessories,,,,485,247,262,287,322,367,48,50,53,61,73,44,45,48,51,56,11,13,15,17,18,56,190,287,386,486
TRUE,Bondage Rope,Rough Angel,Accessories,,,,500,255,270,295,330,375,50,51,55,62,75,45,47,49,53,57,11,13,15,17,19,58,196,295,397,499
TRUE,Ball Gag,Rough Angel,Accessories,,,,710,360,375,400,435,480,71,72,76,83,96,66,68,70,74,78,13,15,17,19,21,76,271,409,548,688
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Prostate Messager,Lewis Spitton,Anal,,,,110,60,75,100,135,180,11,12,16,23,36,6,8,10,14,18,7,9,11,13,15,22,55,85,116,148
TRUE,Anal Plug,LOVXNS,Anal,,,,250,130,145,170,205,250,25,26,30,37,50,20,22,24,28,32,9,11,12,14,16,35,106,160,217,274
TRUE,Anal Lubricant Dildo,Dildo & Chbana,Anal,,,,270,140,155,180,215,260,27,28,32,39,52,22,24,26,30,34,9,11,13,14,16,37,113,171,231,292
TRUE,Anal beads,LOVXNS,Anal,,,,300,155,170,195,230,275,30,31,35,42,55,25,27,29,33,37,9,11,13,15,17,40,124,187,253,319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Silicone Dildo,Dildo & Chbana,Dildo,,,,90,50,65,90,125,170,9,10,14,21,34,4,6,8,12,16,7,9,11,13,14,21,48,74,101,130
TRUE,Sensory Glass Dildo,Dildo & Chbana,Dildo,,,,150,80,95,120,155,200,15,16,20,27,40,10,12,14,18,22,8,10,11,13,15,26,70,106,145,184
TRUE,Strap on Dildo,Dildo & Chbana,Dildo,,,,300,155,170,195,230,275,30,31,35,42,55,25,27,29,33,37,9,11,13,15,17,40,124,187,253,319
TRUE,Textured Fantasy Dildo,Good Unicorn,Dildo,,,,655,332,347,372,407,452,65,67,70,78,90,61,62,65,68,73,13,15,16,18,20,71,252,379,508,639
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Deep Throat Desensitizing Spray,Mèrcury,Enhancement,,,,365,187,202,227,262,307,36,38,41,49,61,32,33,36,39,44,10,12,14,15,17,45,147,222,299,378
TRUE,Penis Extender,Mèrcury,Enhancement,,,,400,205,220,245,280,325,40,41,45,52,65,35,37,39,43,47,10,12,14,16,18,49,160,241,325,409
TRUE,Ribbed Sheath,BLUBURRY,Enhancement,,,,445,227,242,267,302,347,44,46,49,57,69,40,41,44,47,52,11,13,14,16,18,53,176,266,357,450
TRUE,Vibrating Penis Ring,BLUBURRY,Enhancement,,,,510,260,275,300,335,380,51,52,56,63,76,46,48,50,54,58,11,13,15,17,19,58,199,301,404,508
TRUE,Penis Ring,BLUBURRY,Enhancement,,,,530,270,285,310,345,390,53,54,58,65,78,48,50,52,56,60,12,13,15,17,19,60,207,311,418,526
TRUE,Textured Fantasy Sheath,Good Unicorn,Enhancement,,,,640,325,340,365,400,445,64,65,69,76,89,59,61,63,67,71,13,15,16,18,20,70,246,371,497,625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Textured Stroker,Lewis Spitton,Fleshlight,,,,55,32,47,72,107,152,5,7,10,18,30,1,2,5,8,13,7,9,10,12,14,17,36,55,76,99
