In Game?,Category,Question,Answer1,Answer2,Answer3,Correct,Correct Response,Incorrect Response,Attached to,Frequency (1-5),Reward
TRUE,Fleshlights,"What does this ""textured stroker"" do? ","It's a textured item, like a dildo with ridges or bumps. ",It's a textured silicone sleeve designed for masturbation,"It's a stroker with textures, what else do you expect?",Ans2,"Ooh, that's interesting. I'd like to check that out. ","Oh, okay. I'll come back some other time then. ",Textured Stroker,Common 4,2 fame
TRUE,Wellness,"I want to use protection, but I'm allergic to latex. What do I do? ",What about polyisoprene condoms? They're thicker than latex condoms but won't trigger an allergy.,You can try our condom travel package...and see which one you're not allergic to.,Protection? Just use a glass dildo.,Ans1,That sounds great! Let me go find them. ,"Hmm....I'm not sure that's what I'm looking for, but I guess I could try it out. ",Intense Polyisoprene Condoms,Medium 3,3 fame
TRUE,Dildos,What are the different between glass and silicone dildos?,I mean...You have to try them yourself to figure out your preference.,Glass dildos are more easily hidden in plain sight if you have guests in your home. ,"If you prefer a colder, smoother, and slippery device, then go with a glass dildo. Silicone is softer and squishier.",Ans3,Woah! Maybe I should try it out.,Okay... ,"Silicone Dildo, Sensory Glass Dildo",Medium 3,5 fame
TRUE,Lingerie,"It's my partner's birthday soon, and I'd like to get them something to wear. Can any of these lingeries be used more than once? ",90's lingerie more delicate and may tear in the wash. Sturdier lingerie can be washed normally. Leather should only be cleaned with skin safe disinfectant. ,"Ewww, more than once? The material can be broken down by fluids and sweat. ",Are you unable to afford new lingeries...? I feel sorry for your partner.,Ans1,Thanks for the help! I'll take a look. ,F**k You.,"90's Lingerie, Bunny Girl Lingerie, Leather Queen Lingerie",Medium 3,5 fame
TRUE,General,Do I need to clean my sex toys? ,"What do you mean, ""do I need to?""... Have you not been cleaning them? ",If you're the only one using it then it should be fine. ,"Yes, but be careful what you use. Silicone toys can only be cleaned with water. ",Ans3,I didn't know that. Thanks! ,Um... alright. Whatever.,Any,,
TRUE,Wellness,The condoms I use break a lot when I finish inside. Do you know why?,"There could be a lot of reasons. I can't tell you unless I know exactly what you're doing, and I don't want to see that.","You could try another brand of condoms. It could be the material, or you might need to size up...or down. ","A condom can easily break if it rubs against itself. If you're going soft after finishing and staying inside, that could be why. ","Ans3, Ans2",Oh. I see. I'll try changing that. ,"Are you serious? Fine, I'll go somewhere else. ",Any,,
TRUE,Vibrators,"I see that you guys have a lot of different types of vibrators, what is the difference between all of them?","The term ""vibrator"" is just used to describe a sex toy that vibrates. The different types of vibrators depend on shape, area of use, and preference of the user.",Nothing.,They all vibrate. What more do you want?,Ans1,"Thanks for the information, I'll see which ones you guys have so far. ",You are really not helpful.,,,
TRUE,Wellness,Does glow in the dark lube actually glow in the dark?,Why else would it be called that...,"Actually, the lube itself doesn't glow in the dark but instead the bottle does.",Yeah!,Ans2,Oh! Interesting. I'll have to check it out.,Really? I thought the bottle said that it doesn't...,,,
TRUE,General,"How do I know if my sex toy is safe to use in a bath, hot tub, or shower?",Don't use a vibrator in a body of water unless the packaging or product description clearly indicates that it's waterproof.,Sure they are! Everyone does it!,Please do not use your sex toys in a body of water! They are not made for that!,Ans1,"Oh ok, thanks! Good to know!",Are you sure....?,,,
TRUE,Vibrators,What are the best batteries to use in a vibrator?,Any batteries work.,"Alkaline batteries are best due to their design for a longer battery life. You can also use rechargeable batteries, but any batteries work. ",Why would I know?,Ans2,Wow you really know everything!,Wow... you really don't know anything...,,,
TRUE,General,Are sex toys only for solo play? Can I use them with a partner?,Some toys are better for solo or partnered play due to their design but most sex toys you can use for either solo or partnered play.,Why are you asking me?,It's up to you and your partner.,Ans1,Ok! Good to know!,Why did I even ask....,,,
TRUE,General,What's the best sex toy for a newbie?,"If you have a clitoris, a clitoral focused vibrator is my recommendation. If you do not have a clitoris, I recommend a fleshlight.",Any bodage item. They are easy to use and most people like bondage.,A dildo is your best bet.,Ans1,Thank you! I'll go check that out!,Uh... but what if I am not into that...?,,,
TRUE,General,What's the benefit of using sex toys?,Sex toys are a great way to explore yourself and your sexual interests.,"They are used for self pleasure, and don't we all need more of that in this world?",Cum.,Ans1,Thanks!,....,,,
TRUE,Vibrators,Where should vibrators be stored?,"In a safe, cool, dry and dark place.",Anywhere works to be honest.,You don't have a case for your vibrator?,Ans1,Got it!,Dude... fuck you.,,,
TRUE,General,Are sex toys safe to use?,"Yes, as long as you choose toys made from body-safe materials like medical-grade silicone, stainless steel, or glass. ",This is a sex toy shop. Duh.,"Just avoid toys made out of  porous materials like jelly rubber, which can harbor bacteria and break down over time and you will be fine.",Ans3,Ok cause I was wondering what I should avoid. Thanks!,Sorry for asking...,,,
TRUE,General,Can I use the same toy for both vaginal and anal play?,"It's not recommended due to infections. If you have to, make sure to clean them in between use.",Yes you can! ,Ew.... Do you do that?,Ans1,Ok. Good to know. Thank you!,Oh....,,,
TRUE,General,Do I need to use lube with sex toys?,"No you do not need to use lube with sex toys, it would destroy them. ",Yes. Buy our lube.,Lube defiantly makes it easier to use but it is not needed depending on the type of toy.,Ans3,Awesome! I'll go look for some lube!,I don't know if you should be running a sex shop...,,,
TRUE,General,Is it normal to feel embarrassed or unsure?,No. You are weird. ,Yes and you are not alone. Sex and self pleasure is often seen as taboo but it is perfectally normal to enjoy sex and self pleasure!,I never felt embarrassed or unsure so you probally shouldn't either. ,Ans2,Oh thank god. I was worried.,Oh.... Uh.... Ok... Sorry for asking...,,,
TRUE,General,What's something suitable for beginners at sex?,"Well it depends on what you are looking for, but external vibrators are good reguardless of anatonmy. ",Dildos are awesome!,Whatever intrests you!,Ans1,That's helpful!,Okay...?,,,
TRUE,Dildos,What type of dildo should I look for with help for dilation/penetration?,Lube fixes everything!,Something with a narrow tip.,That's something that gets better with time.,Ans2,Got it.,...what?,,,
FALSE,Dildos,Can you suck a dildo?,Yes but you should wash it.,No.,Ew why are you asking me?,Ans1,That's fucking awesome!,Oh.... awe...,,,
FALSE,Anal,What do you recommend for someone who is exploring anal for the first time?,Your finger.,Vbrating anal plugs can help a lot.,Taking a big shit.,Ans2,Okay.,Fuck you.,,,
FALSE,Wellness,Do I have to use a toy cleaner to clean my toys?,Yes. You can buy some over here.,You don't have to clean your toys.,"No. You can clean silicone toys with warm water and anti bacterial soap, but the cleaner helps make it extra clean.",Ans3,Thanks!,Oh....,,,
FALSE,Vibrators,How many settings are there on your vibrators?,A lot.,I dont know.,There are multiple settings for different levels or types of vibration. It depends on the vibrator.,Ans3,Time to try them all!,Ok?,,,
