Archetype Id,Display Name,Category,Build Cost,Level 1,,,,,Level 2 (plus),,,,,Level 3 (plus),,,,,Level 4 (plus),,,,
,,,,Price,Maintenance Fee ,Stock,Attractiveness,Fame Cost,Price,Maintenance Fee (add-on),Stock,Attractiveness,Fame Cost,Price,Maintenance Fee,Stock,Attractiveness,Fame Cost,Price,Maintenance Fee,Stock,Attractiveness,Fame Cost
B001,Darex Condoms,Condom,50,3,1,10,2.7,10,7,2,5,4.7,20,14,5,8,6.7,30,28,7,11,8.7,40
B002,Arclight Textured Stroker,Fleshlight,75,4,1,10,3.9,12,7,2,5,5.7,24,14,5,8,7.7,36,28,7,11,9.7,48
B003,Love Bunny Silicone Dildo,Dildo,75,4,1,10,3.7,12,7,2,5,5.3,22,14,5,8,8,45,28,7,11,10.5,65
B004,Vintage Lingeres,Lingerie,100,3,1,10,5,15,7,2,5,5.7,30,14,5,8,7.7,40,28,7,11,9.7,60
B005,Darex Natural Lubricant,Lubricant,50,4,2,10,4,15,10,3,5,6,30,20,6,8,8.5,50,40,8,11,10,60
B006,Love Bunny Vibrator,Vibrator,100,7,2,10,5,20,10,3,5,7,40,20,6,8,9,60,40,8,11,11,80
B007,Darex Intense Polyisoprene Condoms,Condom,150,7,2,10,4,10,10,3,5,6,20,20,6,8,8,30,40,8,11,10,40
B008,Love Bunny Fleshlight,Fleshlight,200,6.5,2,10,4.9,20,9,2,5,6.9,40,18,5,8,8.9,60,36,7,11,10.9,80
B009,Glacial Sensory Glass Dildo,Dildo,150,6.5,2,10,5,20,9,3,5,8.3,44,20,6,8,9.5,65,36,8,11,12.5,90
B010,Bunny Girl Lingeres,Lingerie,250,5,1,10,5.9,25,9,2,5,7.9,50,18,5,8,9.9,75,36,7,11,11.9,100
B011,Love Bunny Strawberry Lubricant,Lubricant,175,6.5,2,10,6.9,30,9,3,5,8.9,60,18,6,8,10.9,90,36,8,11,12.9,120
B012,Vellesa Portable Vibrator,Vibrator,175,6,1,10,2.6,8,6,2,5,4.6,16,12,5,8,6.6,24,24,7,11,8.6,32
B013,Achaean Women’s Pleasure Condoms,Condom,225,6,1,10,3.6,10,6,2,5,5.6,20,12,5,8,7.6,30,24,7,11,9.6,40
B014,Tenga Egg Fleshlight,Fleshlight,250,7,1,10,4.6,12,6,2,5,6.6,24,12,5,8,8.6,36,24,7,11,10.6,48
B015,Lovehoney Strap on Dildo,Dildo,300,8,3,10,6.1,25,11,4,5,8.1,50,22,7,8,10.1,75,44,8,11,12.1,100
B016,Leather Queen Lingeres,Lingerie,375,7,3,10,8.1,35,11,4,5,10.1,70,22,7,8,12.1,105,44,8,11,14.1,140
B017,Lewd Lewb Glow in the Dark Lubricant,Lubricant,250,5,2,10,4.9,18,9,3,5,6.9,36,18,6,8,8.9,54,36,7,11,10.9,72
B018,Vellesa Wireless Vibrator,Vibrator,300,8,3,10,7.1,30,11,4,5,9.1,60,22,7,8,11.1,90,44,8,11,13.1,120
B019,Anal beads,Dildo,300,8,3,10,7.1,30,11,4,5,9.1,60,22,7,8,11.1,90,44,8,11,13.1,120
